Ewe/V	I/mA
5.000000000000000E-001	0.000000000000000E+000
4.990000128746033E-001	-1.696592022426557E-007
4.979999959468842E-001	-3.584295882319566E-008
4.970000088214874E-001	-6.220432169357082E-008
4.959999918937683E-001	-4.581971424499898E-008
4.950000047683716E-001	-4.722947011259748E-008
4.939999878406525E-001	-4.460087055235817E-008
4.930000007152557E-001	-4.437844225435583E-008
4.920000135898590E-001	-4.406422604574800E-008
4.909999966621399E-001	-4.427722188893313E-008
4.900000095367432E-001	-4.469063341616675E-008
4.889999926090240E-001	-4.533464803557763E-008
4.880000054836273E-001	-4.614802051605693E-008
4.869999885559082E-001	-4.711602485940602E-008
4.860000014305115E-001	-4.821923482722923E-008
4.850000143051147E-001	-4.944696740949439E-008
4.839999973773956E-001	-5.079068543523135E-008
4.830000102519989E-001	-5.224477206411393E-008
4.819999933242798E-001	-5.380532996923648E-008
4.810000061988831E-001	-5.546993264715638E-008
4.799999892711639E-001	-5.723725493567144E-008
4.790000021457672E-001	-5.910685274557181E-008
4.779999852180481E-001	-6.107901384666548E-008
4.769999980926514E-001	-6.315462286465845E-008
4.760000109672546E-001	-6.533509377959490E-008
4.749999940395355E-001	-6.762225979173309E-008
4.740000069141388E-001	-7.001837332154537E-008
4.729999899864197E-001	-7.252602785001727E-008
4.720000028610229E-001	-7.514814370779277E-008
4.709999859333038E-001	-7.788794675889221E-008
4.699999988079071E-001	-8.074893997900290E-008
4.690000116825104E-001	-8.373490345547907E-008
4.679999947547913E-001	-8.684989438734192E-008
4.670000076293945E-001	-9.009821155814279E-008
4.659999907016754E-001	-9.348441665224527E-008
4.650000035762787E-001	-9.701334136025253E-008
4.639999866485596E-001	-1.006900447464432E-007
4.629999995231628E-001	-1.045198700921901E-007
4.620000123977661E-001	-1.085084022633964E-007
4.609999954700470E-001	-1.126615174484868E-007
4.600000083446503E-001	-1.169853334204163E-007
4.589999914169312E-001	-1.214862805909434E-007
4.580000042915344E-001	-1.261710309563568E-007
4.569999873638153E-001	-1.310465762571766E-007
4.560000002384186E-001	-1.361202350835811E-007
4.550000131130219E-001	-1.413995676102786E-007
4.539999961853027E-001	-1.468925461267645E-007
4.530000090599060E-001	-1.526073987179188E-007
4.519999921321869E-001	-1.585527229508443E-007
4.510000050067902E-001	-1.647374858748663E-007
4.499999880790710E-001	-1.711710240215325E-007
4.490000009536743E-001	-1.778630291937588E-007
4.480000138282776E-001	-1.848236195201025E-007
4.469999969005585E-001	-1.920633110330527E-007
4.460000097751617E-001	-1.995930318798855E-007
4.449999928474426E-001	-2.074241791660825E-007
4.440000057220459E-001	-2.155685905336213E-007
4.429999887943268E-001	-2.240386010043949E-007
4.420000016689301E-001	-2.328470287693563E-007
4.409999847412109E-001	-2.420072178210830E-007
4.399999976158142E-001	-2.515329811103584E-007
4.390000104904175E-001	-2.614388279198465E-007
4.379999935626984E-001	-2.717396796469984E-007
4.370000064373016E-001	-2.824511966537102E-007
4.359999895095825E-001	-2.935895508926478E-007
4.350000023841858E-001	-3.051716532809223E-007
4.339999854564667E-001	-3.172150400132523E-007
4.329999983310699E-001	-3.297379578270920E-007
4.320000112056732E-001	-3.427593640026316E-007
4.309999942779541E-001	-3.562990116279252E-007
4.300000071525574E-001	-3.703773643337627E-007
4.289999902248383E-001	-3.850157952456357E-007
4.280000030994415E-001	-4.002364732968999E-007
4.269999861717224E-001	-4.160624484939035E-007
4.259999990463257E-001	-4.325177087594057E-007
4.250000119209290E-001	-4.496271799325768E-007
4.239999949932098E-001	-4.674167541907082E-007
4.230000078678131E-001	-4.859134605794679E-007
4.219999909400940E-001	-5.051451807958074E-007
4.210000038146973E-001	-5.251412176221493E-007
4.199999868869781E-001	-5.459316980704898E-007
4.189999997615814E-001	-5.675482839251345E-007
4.180000126361847E-001	-5.900235464650905E-007
4.169999957084656E-001	-6.133917054285121E-007
4.160000085830688E-001	-6.376880037350929E-007
4.149999916553497E-001	-6.629493327636737E-007
4.140000045299530E-001	-6.892139481351478E-007
