Ewe/V	I/mA
2.759999930858612E-001	-2.171622618334368E-004
2.750000059604645E-001	-2.255773579236120E-004
2.739999890327454E-001	-2.343102678423747E-004
2.730000019073486E-001	-2.433723275316879E-004
2.719999849796295E-001	-2.527752658352256E-004
2.709999978542328E-001	-2.625311026349664E-004
2.700000107288361E-001	-2.726523089222610E-004
2.689999938011169E-001	-2.831516321748495E-004
2.680000066757202E-001	-2.940422855317593E-004
2.669999897480011E-001	-3.053378313779831E-004
2.660000026226044E-001	-3.170521813444793E-004
2.649999856948853E-001	-3.291997127234936E-004
2.639999985694885E-001	-3.417951229494065E-004
2.629999816417694E-001	-3.548536042217165E-004
2.619999945163727E-001	-3.683906397782266E-004
2.610000073909760E-001	-3.824222076218575E-004
2.599999904632568E-001	-3.969646641053259E-004
2.590000033378601E-001	-4.120347439311445E-004
2.579999864101410E-001	-4.276495892554522E-004
2.569999992847443E-001	-4.438268369995058E-004
2.559999823570251E-001	-4.605843860190362E-004
2.549999952316284E-001	-4.779406008310616E-004
2.540000081062317E-001	-4.959142534062266E-004
2.529999911785126E-001	-5.145244067534804E-004
2.520000040531158E-001	-5.337906186468899E-004
2.509999871253967E-001	-5.537326796911657E-004
2.500000000000000E-001	-5.743708461523056E-004
2.489999979734421E-001	-5.957256653346121E-004
2.479999959468842E-001	-6.178178591653705E-004
2.469999939203262E-001	-6.406686734408140E-004
2.459999918937683E-001	-6.642994703724980E-004
2.449999898672104E-001	-6.887319032102823E-004
2.440000027418137E-001	-7.139877416193485E-004
2.430000007152557E-001	-7.400891627185047E-004
2.419999986886978E-001	-7.670582272112370E-004
2.409999966621399E-001	-7.949173450469971E-004
2.399999946355820E-001	-8.236888097599149E-004
2.389999926090240E-001	-8.533950312994421E-004
2.379999905824661E-001	-8.840583614073694E-004
2.370000034570694E-001	-9.157010936178267E-004
2.360000014305115E-001	-9.483454050496221E-004
2.349999994039536E-001	-9.820131817832589E-004
2.339999973773956E-001	-1.016726135276258E-003
2.329999953508377E-001	-1.052505569532514E-003
2.319999933242798E-001	-1.089372555725276E-003
2.309999912977219E-001	-1.127347350120544E-003
2.299999892711639E-001	-1.166449976153672E-003
2.290000021457672E-001	-1.206699409522116E-003
2.280000001192093E-001	-1.248114393092692E-003
2.269999980926514E-001	-1.290712156333029E-003
2.259999960660934E-001	-1.334509579464793E-003
2.249999940395355E-001	-1.379522145725787E-003
2.239999920129776E-001	-1.425764057785273E-003
2.229999899864197E-001	-1.473248470574617E-003
2.220000028610229E-001	-1.521986909210682E-003
2.210000008344650E-001	-1.571989501826465E-003
2.199999988079071E-001	-1.623264630325139E-003
2.189999967813492E-001	-1.675818813964725E-003
2.179999947547913E-001	-1.729656709358096E-003
2.169999927282333E-001	-1.784780761227012E-003
2.159999907016754E-001	-1.841191435232759E-003
2.149999886751175E-001	-1.898886519484222E-003
2.140000015497208E-001	-1.957861473783851E-003
2.129999995231628E-001	-2.018109196797013E-003
2.119999974966049E-001	-2.079619793221354E-003
2.109999954700470E-001	-2.142380224540830E-003
2.099999934434891E-001	-2.206374658271670E-003
2.089999914169312E-001	-2.271584002301097E-003
2.079999893903732E-001	-2.337985904887319E-003
2.070000022649765E-001	-2.405554754659534E-003
2.060000002384186E-001	-2.474261214956641E-003
2.049999982118607E-001	-2.544072456657887E-003
2.039999961853027E-001	-2.614952158182859E-003
2.029999941587448E-001	-2.686860039830208E-003
2.019999921321869E-001	-2.759751863777637E-003
2.009999901056290E-001	-2.833580132573843E-003
1.999999880790710E-001	-2.908292924985290E-003
1.990000009536743E-001	-2.983834594488144E-003
1.979999989271164E-001	-3.060145769268274E-003
1.969999969005585E-001	-3.137163119390607E-003
1.959999948740005E-001	-3.214819589629769E-003
