Ewe/V	I/mA
5.000000000000000E-001	0.000000000000000E+000
4.990000128746033E-001	-3.393184044853115E-007
4.979999959468842E-001	-7.168591764639132E-008
4.970000088214874E-001	-1.244086433871416E-007
4.959999918937683E-001	-9.163942848999795E-008
4.950000047683716E-001	-9.445894022519497E-008
4.939999878406525E-001	-8.920174110471635E-008
4.930000007152557E-001	-8.875688450871166E-008
4.920000135898590E-001	-8.812845209149600E-008
4.909999966621399E-001	-8.855444377786625E-008
4.900000095367432E-001	-8.938126683233349E-008
4.889999926090240E-001	-9.066929607115526E-008
4.880000054836273E-001	-9.229604103211386E-008
4.869999885559082E-001	-9.423204971881205E-008
4.860000014305115E-001	-9.643846965445846E-008
4.850000143051147E-001	-9.889393481898878E-008
4.839999973773956E-001	-1.015813708704627E-007
4.830000102519989E-001	-1.044895441282279E-007
4.819999933242798E-001	-1.076106599384730E-007
4.810000061988831E-001	-1.109398652943128E-007
4.799999892711639E-001	-1.144745098713429E-007
4.790000021457672E-001	-1.182137054911436E-007
4.779999852180481E-001	-1.221580276933310E-007
4.769999980926514E-001	-1.263092457293169E-007
4.760000109672546E-001	-1.306701875591898E-007
4.749999940395355E-001	-1.352445195834662E-007
4.740000069141388E-001	-1.400367466430907E-007
4.729999899864197E-001	-1.450520557000345E-007
4.720000028610229E-001	-1.502962874155855E-007
4.709999859333038E-001	-1.557758935177844E-007
4.699999988079071E-001	-1.614978799580058E-007
4.690000116825104E-001	-1.674698069109581E-007
4.679999947547913E-001	-1.736997887746838E-007
4.670000076293945E-001	-1.801964231162856E-007
4.659999907016754E-001	-1.869688333044905E-007
4.650000035762787E-001	-1.940266827205051E-007
4.639999866485596E-001	-2.013800894928863E-007
4.629999995231628E-001	-2.090397401843802E-007
4.620000123977661E-001	-2.170168045267928E-007
4.609999954700470E-001	-2.253230348969737E-007
4.600000083446503E-001	-2.339706668408326E-007
4.589999914169312E-001	-2.429725611818867E-007
4.580000042915344E-001	-2.523420619127137E-007
4.569999873638153E-001	-2.620931525143533E-007
4.560000002384186E-001	-2.722404701671621E-007
4.550000131130219E-001	-2.827991352205572E-007
4.539999961853027E-001	-2.937850922535290E-007
4.530000090599060E-001	-3.052147974358377E-007
4.519999921321869E-001	-3.171054459016887E-007
4.510000050067902E-001	-3.294749717497325E-007
4.499999880790710E-001	-3.423420480430650E-007
4.490000009536743E-001	-3.557260583875177E-007
4.480000138282776E-001	-3.696472390402050E-007
4.469999969005585E-001	-3.841266220661055E-007
4.460000097751617E-001	-3.991860637597711E-007
4.449999928474426E-001	-4.148483583321649E-007
4.440000057220459E-001	-4.311371810672426E-007
4.429999887943268E-001	-4.480772020087898E-007
4.420000016689301E-001	-4.656940575387125E-007
4.409999847412109E-001	-4.840144356421661E-007
4.399999976158142E-001	-5.030659622207168E-007
4.390000104904175E-001	-5.228776558396930E-007
4.379999935626984E-001	-5.434793592939968E-007
4.370000064373016E-001	-5.649023933074204E-007
4.359999895095825E-001	-5.871791017852956E-007
4.350000023841858E-001	-6.103433065618447E-007
4.339999854564667E-001	-6.344300800265046E-007
4.329999983310699E-001	-6.594759156541841E-007
4.320000112056732E-001	-6.855187280052633E-007
4.309999942779541E-001	-7.125980232558504E-007
4.300000071525574E-001	-7.407547286675253E-007
4.289999902248383E-001	-7.700315904912713E-007
4.280000030994415E-001	-8.004729465937999E-007
4.269999861717224E-001	-8.321248969878070E-007
4.259999990463257E-001	-8.650354175188113E-007
4.250000119209290E-001	-8.992543598651537E-007
4.239999949932098E-001	-9.348335083814163E-007
4.230000078678131E-001	-9.718269211589359E-007
4.219999909400940E-001	-1.010290361591615E-006
4.210000038146973E-001	-1.050282435244299E-006
4.199999868869781E-001	-1.091863396140980E-006
4.189999997615814E-001	-1.135096567850269E-006
4.180000126361847E-001	-1.180047092930181E-006
4.169999957084656E-001	-1.226783410857024E-006
4.160000085830688E-001	-1.275376007470186E-006
4.149999916553497E-001	-1.325898665527347E-006
4.140000045299530E-001	-1.378427896270296E-006
4.129999876022339E-001	-1.433043166798598E-006
4.120000004768372E-001	-1.489827241130115E-006
4.110000133514404E-001	-1.548866066514165E-006
4.099999964237213E-001	-1.610249228178873E-006
4.090000092983246E-001	-1.674069494583819E-006
4.079999923706055E-001	-1.740423613227904E-006
4.070000052452087E-001	-1.809412083275674E-006
4.059999883174896E-001	-1.881139269244159E-006
4.050000011920929E-001	-1.955713742063381E-006
4.039999842643738E-001	-2.033248620136874E-006
4.029999971389771E-001	-2.113861228281166E-006
4.020000100135803E-001	-2.197673438786296E-006
4.009999930858612E-001	-2.284812353536836E-006
4.000000059604645E-001	-2.375409621890867E-006
3.989999890327454E-001	-2.469602577548358E-006
3.980000019073486E-001	-2.567534011177486E-006
3.969999849796295E-001	-2.669351715667290E-006
3.959999978542328E-001	-2.775210077743395E-006
3.950000107288361E-001	-2.885269168473314E-006
3.939999938011169E-001	-2.999695652761147E-006
3.930000066757202E-001	-3.118662561973906E-006
3.919999897480011E-001	-3.242349976062542E-006
3.910000026226044E-001	-3.370945250935620E-006
3.899999856948853E-001	-3.504642563711968E-006
3.889999985694885E-001	-3.643644504336407E-006
3.880000114440918E-001	-3.788161393458722E-006
3.869999945163727E-001	-3.938411737181013E-006
3.860000073909760E-001	-4.094622454431374E-006
3.849999904632568E-001	-4.257030013832264E-006
3.840000033378601E-001	-4.425880433700513E-006
3.829999864101410E-001	-4.601428827299969E-006
3.819999992847443E-001	-4.783940767083550E-006
3.810000121593475E-001	-4.973691375198541E-006
3.799999952316284E-001	-5.170968961465405E-006
3.790000081062317E-001	-5.376070475904271E-006
3.779999911785126E-001	-5.589306510955794E-006
3.770000040531158E-001	-5.810999027744401E-006
3.759999871253967E-001	-6.041483629815048E-006
3.750000000000000E-001	-6.281108198891161E-006
3.740000128746033E-001	-6.530235168611398E-006
3.729999959468842E-001	-6.789240160287591E-006
3.720000088214874E-001	-7.058515166136203E-006
3.709999918937683E-001	-7.338466275541577E-006
3.700000047683716E-001	-7.629517313034739E-006
3.689999878406525E-001	-7.932106200314593E-006
3.680000007152557E-001	-8.246690413216129E-006
3.669999837875366E-001	-8.573745617468376E-006
3.659999966621399E-001	-8.913764759199694E-006
3.650000095367432E-001	-9.267260793421883E-006
3.639999926090240E-001	-9.634767593524884E-006
3.630000054836273E-001	-1.001683904178208E-005
3.619999885559082E-001	-1.041405175783439E-005
3.610000014305115E-001	-1.082700509869028E-005
3.599999845027924E-001	-1.125632024923107E-005
3.589999973773956E-001	-1.170264567917911E-005
3.580000102519989E-001	-1.216665441461373E-005
3.569999933242798E-001	-1.264904403797118E-005
3.560000061988831E-001	-1.315054214501288E-005
3.549999892711639E-001	-1.367190452583600E-005
3.540000021457672E-001	-1.421391516487347E-005
3.529999852180481E-001	-1.477739078836748E-005
3.519999980926514E-001	-1.536317904538009E-005
3.510000109672546E-001	-1.597216214577202E-005
3.499999940395355E-001	-1.660525413171854E-005
3.490000069141388E-001	-1.726340815366711E-005
3.479999899864197E-001	-1.794761374185327E-005
3.470000028610229E-001	-1.865889862529002E-005
3.459999859333038E-001	-1.939833236974664E-005
3.449999988079071E-001	-2.016702273976989E-005
3.440000116825104E-001	-2.096612661262043E-005
3.429999947547913E-001	-2.179684270231519E-005
3.420000076293945E-001	-2.266041701659560E-005
3.409999907016754E-001	-2.355814285692759E-005
3.400000035762787E-001	-2.449136627546977E-005
3.389999866485596E-001	-2.546148607507348E-005
3.379999995231628E-001	-2.646995562827215E-005
3.370000123977661E-001	-2.751828287728131E-005
3.359999954700470E-001	-2.860803579096682E-005
3.350000083446503E-001	-2.974084782181308E-005
3.339999914169312E-001	-3.091840699198656E-005
3.330000042915344E-001	-3.214247408322990E-005
3.319999873638153E-001	-3.341487899888307E-005
3.310000002384186E-001	-3.473751348792575E-005
3.299999833106995E-001	-3.611235661082901E-005
3.289999961853027E-001	-3.754145654966123E-005
3.280000090599060E-001	-3.902693424606696E-005
3.269999921321869E-001	-4.057100886711851E-005
3.260000050067902E-001	-4.217596870148554E-005
3.249999880790710E-001	-4.384420390124433E-005
3.240000009536743E-001	-4.557818829198368E-005
3.229999840259552E-001	-4.738049756269902E-005
3.219999969005585E-001	-4.925379835185595E-005
3.210000097751617E-001	-5.120087007526308E-005
3.199999928474426E-001	-5.322459037415683E-005
3.190000057220459E-001	-5.532794966711663E-005
3.179999887943268E-001	-5.751405478804372E-005
3.170000016689301E-001	-5.978613262414001E-005
3.159999847412109E-001	-6.214752647792920E-005
3.149999976158142E-001	-6.460172153310850E-005
3.140000104904175E-001	-6.715230847476050E-005
3.129999935626984E-001	-6.980305624892935E-005
3.120000064373016E-001	-7.255783566506580E-005
3.109999895095825E-001	-7.542068487964571E-005
3.100000023841858E-001	-7.839578756829724E-005
3.089999854564667E-001	-8.148750202963129E-005
3.079999983310699E-001	-8.470032480545342E-005
3.070000112056732E-001	-8.803894161246717E-005
