Ewe/V	I/mA
5.000000000000000E-001	0.000000000000000E+000
4.990000128746033E-001	-4.241479985012120E-007
4.979999959468842E-001	-8.960739705798915E-008
4.970000088214874E-001	-1.555108042339270E-007
4.959999918937683E-001	-1.145492873888543E-007
4.950000047683716E-001	-1.180736717287800E-007
4.939999878406525E-001	-1.115021746045386E-007
4.930000007152557E-001	-1.109461038595327E-007
4.920000135898590E-001	-1.101605633380132E-007
4.909999966621399E-001	-1.106930511696191E-007
4.900000095367432E-001	-1.117265853167737E-007
4.889999926090240E-001	-1.133366183125872E-007
4.880000054836273E-001	-1.153700424083581E-007
4.869999885559082E-001	-1.177900585958014E-007
4.860000014305115E-001	-1.205480941735004E-007
4.850000143051147E-001	-1.236174114183086E-007
4.839999973773956E-001	-1.269767153644352E-007
4.830000102519989E-001	-1.306119230548575E-007
4.819999933242798E-001	-1.345133284758049E-007
4.810000061988831E-001	-1.386748351706046E-007
4.799999892711639E-001	-1.430931320101081E-007
4.790000021457672E-001	-1.477671247585022E-007
4.779999852180481E-001	-1.526975239585227E-007
4.769999980926514E-001	-1.578865607143598E-007
4.760000109672546E-001	-1.633377166854189E-007
4.749999940395355E-001	-1.690556530320464E-007
4.740000069141388E-001	-1.750459404092908E-007
4.729999899864197E-001	-1.813150731777569E-007
4.720000028610229E-001	-1.878703699276230E-007
4.709999859333038E-001	-1.947198597918032E-007
4.699999988079071E-001	-2.018723392893662E-007
4.690000116825104E-001	-2.093372586386977E-007
4.679999947547913E-001	-2.171247359683548E-007
4.670000076293945E-001	-2.252455288953570E-007
4.659999907016754E-001	-2.337110487360405E-007
4.650000035762787E-001	-2.425333320843492E-007
4.639999866485596E-001	-2.517251118661079E-007
4.629999995231628E-001	-2.612996752304753E-007
4.620000123977661E-001	-2.712710056584910E-007
4.609999954700470E-001	-2.816537971739308E-007
4.600000083446503E-001	-2.924633406564681E-007
4.589999914169312E-001	-3.037156659502216E-007
4.580000042915344E-001	-3.154275418637553E-007
4.569999873638153E-001	-3.276164477483690E-007
4.560000002384186E-001	-3.403005734980979E-007
4.550000131130219E-001	-3.534989332365512E-007
4.539999961853027E-001	-3.672313368952018E-007
4.530000090599060E-001	-3.815184754785150E-007
4.519999921321869E-001	-3.963818073771108E-007
4.510000050067902E-001	-4.118437288980203E-007
4.499999880790710E-001	-4.279275458429765E-007
4.490000009536743E-001	-4.446575871952518E-007
4.480000138282776E-001	-4.620590345894016E-007
4.469999969005585E-001	-4.801582349500677E-007
4.460000097751617E-001	-4.989825583834318E-007
4.449999928474426E-001	-5.185603981772147E-007
4.440000057220459E-001	-5.389214834394807E-007
4.429999887943268E-001	-5.600965096164146E-007
4.420000016689301E-001	-5.821175932396727E-007
4.409999847412109E-001	-6.050179877092887E-007
4.399999976158142E-001	-6.288324811976054E-007
4.390000104904175E-001	-6.535969987453427E-007
4.379999935626984E-001	-6.793491706957866E-007
4.370000064373016E-001	-7.061279347908567E-007
4.359999895095825E-001	-7.339738772316196E-007
4.350000023841858E-001	-7.629291189914511E-007
4.339999854564667E-001	-7.930376000331307E-007
4.329999983310699E-001	-8.243449087785848E-007
4.320000112056732E-001	-8.568983957957244E-007
4.309999942779541E-001	-8.907475148589583E-007
4.300000071525574E-001	-9.259434250452614E-007
4.289999902248383E-001	-9.625395023249439E-007
4.280000030994415E-001	-1.000591169031395E-006
4.269999861717224E-001	-1.040156121234759E-006
4.259999990463257E-001	-1.081294271898514E-006
4.250000119209290E-001	-1.124067921409733E-006
4.239999949932098E-001	-1.168541871265916E-006
4.230000078678131E-001	-1.214783537761832E-006
4.219999909400940E-001	-1.262862951989518E-006
4.210000038146973E-001	-1.312852987211954E-006
4.199999868869781E-001	-1.364829245176225E-006
4.189999997615814E-001	-1.418870624547708E-006
4.180000126361847E-001	-1.475058866162726E-006
4.169999957084656E-001	-1.533479235149571E-006
4.160000085830688E-001	-1.594219952494313E-006
4.149999916553497E-001	-1.657373331909184E-006
4.140000045299530E-001	-1.723034756651032E-006
4.129999876022339E-001	-1.791303816389700E-006
4.120000004768372E-001	-1.862283966147515E-006
4.110000133514404E-001	-1.936082526299288E-006
4.099999964237213E-001	-2.012811592067010E-006
4.090000092983246E-001	-2.092586782964645E-006
4.079999923706055E-001	-2.175529516534880E-006
4.070000052452087E-001	-2.261765075672884E-006
4.059999883174896E-001	-2.351423972868361E-006
4.050000011920929E-001	-2.444642177579226E-006
4.039999842643738E-001	-2.541560661484255E-006
4.029999971389771E-001	-2.642326307977783E-006
4.020000100135803E-001	-2.747091684796033E-006
4.009999930858612E-001	-2.856015271390788E-006
4.000000059604645E-001	-2.969261913676746E-006
3.989999890327454E-001	-3.087003278778866E-006
3.980000019073486E-001	-3.209417400285020E-006
3.969999849796295E-001	-3.336689587740693E-006
3.959999978542328E-001	-3.469012426648987E-006
3.950000107288361E-001	-3.606586233217968E-006
3.939999938011169E-001	-3.749619281734340E-006
3.930000066757202E-001	-3.898328031937126E-006
3.919999897480011E-001	-4.052937583765015E-006
3.910000026226044E-001	-4.213681222609011E-006
3.899999856948853E-001	-4.380803147796541E-006
